COD_UNICO_EMP;EMPR_NOME_FAN;Origem;Descricao;CFOP;CME;Serie;C.Custo;Conta Gerencial;Servicos;Oper.Trib.ICMS;Oper.Trib.ICMS-ST;Oper.Trib.IPI;Oper.Trib.PIS/COFINS;Perc.Desconto;CEBF
U01001;ADEX;176;REMESSA DE MERCADORIA PARA TESTE                            ;5949;290;      ;1000;11.01.008;NAO;S;n;N;S;0;          
U01001;ADEX;177;VENDA PRODUÇÃO ESTABELECIMENTO                              ;5101;210;      ;1000;01.01.003;NAO;S;S;N;s;0;          
U01001;ADEX;178;RETORNO REMESSA EMPRESTIMO                                  ;5949;290;      ;1500;11.01.008;NAO;S;S;S;S;0;          
U01001;ADEX;179;ENTRADA DE VERNIZ                                           ;1949;190;VEE   ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;180;CONSUMO PROPRIO                                             ;5927;290;      ;      ;00.00.000;NAO;n;N;N;n;0;PR800011  
U01001;ADEX;181;CONSUMO PROPRIO (RETRABALHO)                                ;5927;300;      ;      ;00.00.000;NAO;n;N;N;n;0;PR800011  
U01001;ADEX;182;DEVOLUCAO DE VASILHAME OU SACARIA FORA DO ESTADO            ;6921;300;      ;1000;00.00.000;NAO;N;n;N;n;0;          
U01001;ADEX;500;Inventário (Entrada)                                        ;1949;190;      ;      ;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;501;Inventário (Saida)                                          ;5949;290;      ;      ;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;997;PRODUCAO INTERNA LABORATORIO                                ;5949;290;      ;      ;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;998;PRODUÇÃO INTERNA                                            ;5949;290;      ;      ;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;999;PRODUÇÃO RETRABALHO                                         ;5949;290;      ;1510;15.02.015;NAO;S;S;S;S;0;          
